,Rank,University,Location,URL,Address
0, 1,Massachusetts Institute of Technology (MIT),United States,https://www.topuniversities.com/universities/massachusetts-institute-technology-mit,77 Massachusetts Avenue Cambridge
1, 2,Stanford University,United States,https://www.topuniversities.com/universities/stanford-university,450 Serra Mall Stanford
2, 3,Harvard University,United States,https://www.topuniversities.com/universities/harvard-university,1350 Massachusetts Avenue Cambridge
3, 4,California Institute of Technology (Caltech),United States,https://www.topuniversities.com/universities/california-institute-technology-caltech,1200 East California Boulevard Pasadena
4, 5,University of Oxford,United Kingdom,https://www.topuniversities.com/universities/university-oxford,Wellington Square Oxford
5, 6,ETH Zurich (Swiss Federal Institute of Technology),Switzerland,https://www.topuniversities.com/universities/eth-zurich-swiss-federal-institute-technology,Raemistrasse 101 Zürich
6, 7,University of Cambridge,United Kingdom,https://www.topuniversities.com/universities/university-cambridge,The Old Schools Trinity Lane Cambridge
7, 8,Imperial College London,United Kingdom,https://www.topuniversities.com/universities/imperial-college-london,South Kensington London
8, 9,University of Chicago,United States,https://www.topuniversities.com/universities/university-chicago,Edward H. Levi Hall 5801 South Ellis Avenue Chicago
9, 10,UCL (University College London),United Kingdom,https://www.topuniversities.com/universities/ucl,University College London Gower Street London
10, 11,National University of Singapore (NUS),Singapore,https://www.topuniversities.com/universities/national-university-singapore-nus,21 Lower Kent Ridge Road Singapore
11, 12,Princeton University,United States,https://www.topuniversities.com/universities/princeton-university,Princeton University Princeton
12, 13,"Nanyang Technological University, Singapore (NTU)",Singapore,https://www.topuniversities.com/universities/nanyang-technological-university-singapore-ntu,50 Nanyang Avenue Singapore
13, 14,Ecole Polytechnique Fédérale de Lausanne (EPFL),Switzerland,https://www.topuniversities.com/universities/epfl,Ecole Polytechnique Federale de Lausanne Lausanne
14, 15,Tsinghua University,China,https://www.topuniversities.com/universities/tsinghua-university,30 Shuangqing Rd Beijing
15, 16,University of Pennsylvania,United States,https://www.topuniversities.com/universities/university-pennsylvania,University of Pennsylvania Philadelphia
16, 18,Yale University,United States,https://www.topuniversities.com/universities/yale-university,Yale University New Haven
17, 17,Cornell University,United States,https://www.topuniversities.com/universities/cornell-university,144 East Avenue Ithaca
18, 19,Columbia University,United States,https://www.topuniversities.com/universities/columbia-university,Columbia University 116th Street & Broadway New York
19, 20,University of Edinburgh,United Kingdom,https://www.topuniversities.com/universities/university-edinburgh,University of Edinburgh Old College South Bridge Edinburgh
20, 21,University of Michigan-Ann Arbor,United States,https://www.topuniversities.com/universities/university-michigan,G-664 Haven Hall 505 South State Street Ann Arbor
21, 22,University of Hong Kong (UKU),Hong Kong,https://www.topuniversities.com/universities/university-hong-kong,Main Building Pokfulam Road Pokfulam Pok Fu Lam
22, 23,Peking University,China,https://www.topuniversities.com/universities/peking-university,No. 5 Yiheyuan Road Haidian District Beijing
23, 24,University of Tokyo,Japan,https://www.topuniversities.com/universities/university-tokyo,7-3-1 Hongo Tokyo
24, 25,Johns Hopkins University,United States,https://www.topuniversities.com/universities/johns-hopkins-university,Johns Hopkins University Baltimore
25, 25,University of Toronto,Canada,https://www.topuniversities.com/universities/university-toronto,27 King's College Circle Toronto Ontario Toronto
26, 27,Hong Kong University of Science and Technology (HKUST),Hong Kong,https://www.topuniversities.com/universities/hong-kong-university-science-technology,Clear Water Bay Kowloon
27, 27,University of Manchester,United Kingdom,https://www.topuniversities.com/universities/university-manchester,The University of Manchester Oxford Road Manchester
28, 29,Northwestern University,United States,https://www.topuniversities.com/universities/northwestern-university,1841 Sheridan Road Evanston
29, 30,"University of California, Berkeley (UCB)",United States,https://www.topuniversities.com/universities/university-california-berkeley-ucb,Campanile Way Berkeley
30, 31,Australian National University,Australia,https://www.topuniversities.com/universities/australian-national-university,The Australian National University Canberra
31, 31,King's College London,United Kingdom,https://www.topuniversities.com/universities/kings-college-london,The Strand London
32, 31,McGill University,Canada,https://www.topuniversities.com/universities/mcgill-university,3415 McTavish Street Montreal
33, 34,Fudan University,China,https://www.topuniversities.com/universities/fudan-university,220 Handan Road Yang Pu Shanghai
34, 35,New York University (NYU),United States,https://www.topuniversities.com/universities/new-york-university-nyu,New York University (NYU) New York
35, 36,"University of California, Los Angeles (UCLA)",United States,https://www.topuniversities.com/universities/university-california-los-angeles-ucla,405 Hilgard Avenue Los Angeles
36, 37,Seoul National University,South Korea,https://www.topuniversities.com/universities/seoul-national-university,1 Gwanak-ro Gwanak-gu Seoul
37, 38,Kyoto University,Japan,https://www.topuniversities.com/universities/kyoto-university,Yoshida-Honmachi Sakyo-ku Kyoto City
38, 39,KAIST - Korea Advanced Institute of Science & Technology,South Korea,https://www.topuniversities.com/universities/kaist-korea-advanced-institute-science-technology,373-1 Guseong-dong Daejeon
39, 40,University of Sydney,Australia,https://www.topuniversities.com/universities/university-sydney,Camperdown Sydney
40, 41,University of Melbourne,Australia,https://www.topuniversities.com/universities/university-melbourne,Grattan Street Parkville
41, 42,Duke University,United States,https://www.topuniversities.com/universities/duke-university,2138 Campus Drive Box 90586 Durham
