기간	자치구	외국인과의 혼인 계	한국인 남편+외국인 아내	한국인 아내+외국인 남편
2010	서울특별시	7,458	4,950	2,508
2010	종로구	175	121	54
2010	중구	178	112	66
2010	용산구	292	150	142
2010	성동구	265	175	90
2010	광진구	290	185	105
2010	동대문구	297	228	69
2010	중랑구	300	233	67
2010	성북구	308	218	90
2010	강북구	237	180	57
2010	도봉구	190	155	35
2010	노원구	256	193	63
2010	은평구	265	196	69
2010	서대문구	203	129	74
2010	마포구	267	174	93
2010	양천구	268	203	65
2010	강서구	345	248	97
2010	구로구	434	289	145
2010	금천구	343	226	117
2010	영등포구	578	326	252
2010	동작구	282	197	85
2010	관악구	468	317	151
2010	서초구	220	107	113
2010	강남구	339	156	183
2010	송파구	347	199	148
2010	강동구	311	233	78
2011	서울특별시	6,348	4,024	2,324
2011	종로구	134	71	63
2011	중구	119	76	43
2011	용산구	279	129	150
2011	성동구	197	140	57
2011	광진구	238	156	82
2011	동대문구	219	153	66
2011	중랑구	234	182	52
2011	성북구	255	188	67
2011	강북구	225	160	65
2011	도봉구	171	124	47
2011	노원구	239	159	80
2011	은평구	220	165	55
2011	서대문구	200	134	66
2011	마포구	276	156	120
2011	양천구	228	167	61
2011	강서구	280	193	87
2011	구로구	402	254	148
2011	금천구	252	159	93
2011	영등포구	430	239	191
2011	동작구	246	151	95
2011	관악구	361	238	123
2011	서초구	244	106	138
2011	강남구	326	139	187
2011	송파구	324	206	118
2011	강동구	249	179	70
2012	서울특별시	5,988	3,733	2,255
2012	종로구	144	92	52
2012	중구	103	59	44
2012	용산구	219	93	126
2012	성동구	184	116	68
2012	광진구	228	152	76
2012	동대문구	223	158	65
2012	중랑구	252	187	65
2012	성북구	227	151	76
2012	강북구	186	147	39
2012	도봉구	141	101	40
2012	노원구	204	140	64
2012	은평구	258	180	78
2012	서대문구	183	123	60
2012	마포구	241	131	110
2012	양천구	219	146	73
2012	강서구	285	181	104
2012	구로구	372	219	153
2012	금천구	220	130	90
2012	영등포구	402	227	175
2012	동작구	233	143	90
2012	관악구	357	227	130
2012	서초구	224	107	117
2012	강남구	304	145	159
2012	송파구	338	196	142
2012	강동구	241	182	59
2013	서울특별시	5,559	3,223	2,336
2013	종로구	110	60	50
2013	중구	102	59	43
2013	용산구	234	87	147
2013	성동구	178	102	76
2013	광진구	224	125	99
2013	동대문구	195	133	62
2013	중랑구	192	136	56
2013	성북구	220	145	75
2013	강북구	140	89	51
2013	도봉구	116	71	45
2013	노원구	201	121	80
2013	은평구	235	161	74
2013	서대문구	185	107	78
2013	마포구	211	116	95
2013	양천구	221	126	95
2013	강서구	238	162	76
2013	구로구	351	210	141
2013	금천구	201	123	78
2013	영등포구	370	208	162
2013	동작구	221	115	106
2013	관악구	357	221	136
2013	서초구	247	126	121
2013	강남구	306	133	173
2013	송파구	303	158	145
2013	강동구	201	129	72
2014	서울특별시	5,133	3,022	2,111
2014	종로구	114	65	49
2014	중구	91	37	54
2014	용산구	212	100	112
2014	성동구	150	99	51
2014	광진구	219	131	88
2014	동대문구	193	128	65
2014	중랑구	183	128	55
2014	성북구	196	118	78
2014	강북구	157	109	48
2014	도봉구	114	81	33
2014	노원구	168	106	62
2014	은평구	212	143	69
2014	서대문구	146	94	52
2014	마포구	217	117	100
2014	양천구	193	113	80
2014	강서구	262	168	94
2014	구로구	311	198	113
2014	금천구	172	116	56
2014	영등포구	320	172	148
2014	동작구	205	122	83
2014	관악구	312	188	124
2014	서초구	208	78	130
2014	강남구	319	155	164
2014	송파구	273	130	143
2014	강동구	186	126	60
2015	서울특별시	4,681	2,702	1,979
2015	종로구	101	58	43
2015	중구	108	53	55
2015	용산구	173	62	111
2015	성동구	157	87	70
2015	광진구	170	95	75
2015	동대문구	171	98	73
2015	중랑구	160	113	47
2015	성북구	168	105	63
2015	강북구	136	88	48
2015	도봉구	121	76	45
2015	노원구	160	104	56
2015	은평구	188	118	70
2015	서대문구	134	81	53
2015	마포구	210	116	94
2015	양천구	196	114	82
2015	강서구	261	170	91
2015	구로구	251	141	110
2015	금천구	161	102	59
2015	영등포구	305	157	148
2015	동작구	187	120	67
2015	관악구	282	184	98
2015	서초구	206	91	115
2015	강남구	267	127	140
2015	송파구	252	149	103
2015	강동구	156	93	63
2016	서울특별시	4,564	2,710	1,854
2016	종로구	97	54	43
2016	중구	80	51	29
2016	용산구	163	71	92
2016	성동구	169	101	68
2016	광진구	171	102	69
2016	동대문구	154	100	54
2016	중랑구	149	110	39
2016	성북구	166	101	65
2016	강북구	135	94	41
2016	도봉구	117	75	42
2016	노원구	176	101	75
2016	은평구	180	118	62
2016	서대문구	129	75	54
2016	마포구	192	119	73
2016	양천구	175	103	72
2016	강서구	243	152	91
2016	구로구	268	173	95
2016	금천구	170	105	65
2016	영등포구	254	135	119
2016	동작구	195	119	76
2016	관악구	285	185	100
2016	서초구	217	96	121
2016	강남구	273	130	143
2016	송파구	262	139	123
2016	강동구	144	101	43
2017	서울특별시	4,437	2,625	1,812
2017	종로구	73	40	33
2017	중구	75	40	35
2017	용산구	159	72	87
2017	성동구	154	88	66
2017	광진구	162	100	62
2017	동대문구	163	102	61
2017	중랑구	138	105	33
2017	성북구	154	102	52
2017	강북구	127	86	41
2017	도봉구	118	74	44
2017	노원구	179	118	61
2017	은평구	183	135	48
2017	서대문구	129	78	51
2017	마포구	196	110	86
2017	양천구	190	113	77
2017	강서구	248	155	93
2017	구로구	273	171	102
2017	금천구	160	101	59
2017	영등포구	247	123	124
2017	동작구	172	104	68
2017	관악구	290	188	102
2017	서초구	189	88	101
2017	강남구	264	116	148
2017	송파구	254	130	124
2017	강동구	140	86	54
2018	서울특별시	4,639	2,863	1,776
2018	종로구	93	48	45
2018	중구	84	58	26
2018	용산구	175	94	81
2018	성동구	172	100	72
2018	광진구	167	106	61
2018	동대문구	143	112	31
2018	중랑구	145	108	37
2018	성북구	174	116	58
2018	강북구	147	113	34
2018	도봉구	108	80	28
2018	노원구	164	108	56
2018	은평구	204	133	71
2018	서대문구	152	88	64
2018	마포구	206	121	85
2018	양천구	178	105	73
2018	강서구	291	190	101
2018	구로구	257	152	105
2018	금천구	189	131	58
2018	영등포구	269	144	125
2018	동작구	173	95	78
2018	관악구	257	176	81
2018	서초구	180	80	100
2018	강남구	253	117	136
2018	송파구	287	171	116
2018	강동구	171	117	54
2019	서울특별시	4,770	3,006	1,764
2019	종로구	81	57	24
2019	중구	76	47	29
2019	용산구	196	90	106
2019	성동구	167	93	74
2019	광진구	156	100	56
2019	동대문구	176	125	51
2019	중랑구	184	149	35
2019	성북구	192	121	71
2019	강북구	141	100	41
2019	도봉구	118	86	32
2019	노원구	168	108	60
2019	은평구	201	142	59
2019	서대문구	137	94	43
2019	마포구	214	119	95
2019	양천구	188	118	70
2019	강서구	304	201	103
2019	구로구	270	166	104
2019	금천구	164	107	57
2019	영등포구	268	159	109
2019	동작구	179	114	65
2019	관악구	334	233	101
2019	서초구	184	84	100
2019	강남구	231	119	112
2019	송파구	291	175	116
2019	강동구	150	99	51
