기간	자치구	혼인건수	조혼인율
2010	합계	70,466	6.9
2010	종로구	1,011	6.1
2010	중구	1,049	8.1
2010	용산구	1,784	7.5
2010	성동구	2,306	7.5
2010	광진구	2,672	7.2
2010	동대문구	2,302	6.4
2010	중랑구	2,694	6.4
2010	성북구	3,212	6.7
2010	강북구	2,142	6.3
2010	도봉구	2,110	5.8
2010	노원구	3,511	5.8
2010	은평구	3,009	6.4
2010	서대문구	1,995	6.2
2010	마포구	3,114	8.1
2010	양천구	2,553	5.1
2010	강서구	4,247	7.5
2010	구로구	3,472	8.3
2010	금천구	1,705	7
2010	영등포구	3,283	8.2
2010	동작구	2,999	7.5
2010	관악구	4,365	8.3
2010	서초구	3,004	7
2010	강남구	3,636	6.5
2010	송파구	4,818	7.1
2010	강동구	3,473	7.2
2011	합계	71,519	7.1
2011	종로구	1,062	6.5
2011	중구	920	7.1
2011	용산구	1,866	7.9
2011	성동구	2,307	7.7
2011	광진구	2,766	7.5
2011	동대문구	2,344	6.5
2011	중랑구	2,789	6.7
2011	성북구	3,109	6.5
2011	강북구	2,122	6.2
2011	도봉구	2,127	5.9
2011	노원구	3,720	6.2
2011	은평구	3,205	6.6
2011	서대문구	2,025	6.5
2011	마포구	3,147	8.2
2011	양천구	2,777	5.6
2011	강서구	4,276	7.6
2011	구로구	3,470	8.2
2011	금천구	1,662	6.9
2011	영등포구	3,342	8.5
2011	동작구	3,085	7.8
2011	관악구	4,372	8.4
2011	서초구	3,040	7.1
2011	강남구	3,657	6.6
2011	송파구	4,893	7.3
2011	강동구	3,436	7.1
2012	합계	71,695	7.1
2012	종로구	1,000	6.2
2012	중구	1,029	8
2012	용산구	1,895	8
2012	성동구	2,425	8.2
2012	광진구	2,798	7.6
2012	동대문구	2,302	6.4
2012	중랑구	2,881	6.9
2012	성북구	2,933	6.2
2012	강북구	2,207	6.5
2012	도봉구	2,117	5.9
2012	노원구	3,638	6.1
2012	은평구	3,232	6.6
2012	서대문구	2,007	6.5
2012	마포구	3,031	8
2012	양천구	2,679	5.4
2012	강서구	4,432	7.9
2012	구로구	3,610	8.5
2012	금천구	1,689	7.1
2012	영등포구	3,155	8.1
2012	동작구	3,203	8
2012	관악구	4,457	8.6
2012	서초구	3,074	7.2
2012	강남구	3,721	6.7
2012	송파구	4,868	7.3
2012	강동구	3,312	6.8
2013	합계	68,819	6.9
2013	종로구	877	5.6
2013	중구	860	6.7
2013	용산구	1,795	7.7
2013	성동구	2,432	8.3
2013	광진구	2,685	7.4
2013	동대문구	2,327	6.5
2013	중랑구	2,813	6.8
2013	성북구	2,809	6
2013	강북구	1,975	5.9
2013	도봉구	2,062	5.8
2013	노원구	3,432	5.8
2013	은평구	3,277	6.6
2013	서대문구	1,974	6.4
2013	마포구	2,986	7.9
2013	양천구	2,644	5.4
2013	강서구	4,331	7.7
2013	구로구	3,357	8
2013	금천구	1,594	6.7
2013	영등포구	3,086	8.1
2013	동작구	3,130	7.8
2013	관악구	4,183	8.2
2013	서초구	2,988	6.9
2013	강남구	3,591	6.5
2013	송파구	4,445	6.7
2013	강동구	3,166	6.6
2014	합계	64,823	6.5
2014	종로구	840	5.5
2014	중구	851	6.8
2014	용산구	1,560	6.8
2014	성동구	2,125	7.3
2014	광진구	2,589	7.2
2014	동대문구	2,123	5.9
2014	중랑구	2,769	6.7
2014	성북구	2,415	5.2
2014	강북구	1,819	5.5
2014	도봉구	1,791	5.1
2014	노원구	3,176	5.5
2014	은평구	2,916	5.9
2014	서대문구	1,732	5.7
2014	마포구	2,827	7.5
2014	양천구	2,490	5.1
2014	강서구	4,338	7.6
2014	구로구	3,156	7.5
2014	금천구	1,556	6.6
2014	영등포구	2,951	7.8
2014	동작구	2,962	7.3
2014	관악구	3,949	7.8
2014	서초구	2,871	6.5
2014	강남구	3,560	6.3
2014	송파구	4,480	6.8
2014	강동구	2,977	6.3
2015	합계	64,193	6.5
2015	종로구	806	5.3
2015	중구	916	7.5
2015	용산구	1,515	6.7
2015	성동구	2,083	7.1
2015	광진구	2,576	7.2
2015	동대문구	2,159	6.1
2015	중랑구	2,716	6.6
2015	성북구	2,379	5.2
2015	강북구	1,715	5.2
2015	도봉구	1,810	5.2
2015	노원구	3,146	5.5
2015	은평구	2,812	5.7
2015	서대문구	1,722	5.6
2015	마포구	3,205	8.4
2015	양천구	2,516	5.2
2015	강서구	4,578	7.9
2015	구로구	3,045	7.3
2015	금천구	1,481	6.3
2015	영등포구	2,934	7.9
2015	동작구	2,855	7.2
2015	관악구	3,859	7.7
2015	서초구	2,846	6.4
2015	강남구	3,380	6
2015	송파구	4,386	6.7
2015	강동구	2,753	6
2016	합계	57,643	5.9
2016	종로구	760	5.1
2016	중구	799	6.6
2016	용산구	1,366	6.2
2016	성동구	1,944	6.6
2016	광진구	2,285	6.5
2016	동대문구	1,796	5.1
2016	중랑구	2,591	6.4
2016	성북구	2,131	4.8
2016	강북구	1,500	4.6
2016	도봉구	1,636	4.7
2016	노원구	2,778	4.9
2016	은평구	2,573	5.3
2016	서대문구	1,660	5.4
2016	마포구	2,588	6.9
2016	양천구	2,258	4.7
